Month,#Passengers
2005-August,3195866
2005-December,2671797
2005-July,3225769
2005-November,2617333
2005-October,2770715
2005-September,2740553
2006-April,2773293
2006-August,3143839
2006-December,2698200
2006-February,2223024
2006-January,2448889
2006-July,3227605
2006-June,3071396
2006-March,2708778
2006-May,2829000
2006-November,2653887
2006-October,2834959
2006-September,2720100
2007-April,2869247
2007-August,3436417
2007-December,2903637
2007-February,2304990
2007-January,2507430
2007-July,3382382
2007-June,3263621
2007-March,2820085
2007-May,3056934
2007-November,2922500
2007-October,3129309
2007-September,2957530
2008-April,3029021
2008-August,3612297
2008-December,2962937
2008-February,2595676
2008-January,2670053
2008-July,3603946
2008-June,3453751
2008-March,3127387
2008-May,3305954
2008-November,2744485
2008-October,3124451
2008-September,3004720
2009-April,3024973
2009-August,3650668
2009-December,3074209
2009-February,2359800
2009-January,2644539
2009-July,3649702
2009-June,3419595
2009-March,2925918
2009-May,3177100
2009-November,2971484
2009-October,3249428
2009-September,3191526
2010-April,3139059
2010-August,3771842
2010-December,3167124
2010-February,2515361
2010-January,2785466
2010-July,3765824
2010-June,3612886
2010-March,3105958
2010-May,3380355
2010-November,3163659
2010-October,3490100
2010-September,3356365
2011-April,3200527
2011-August,3917884
2011-December,3441693
2011-February,2610667
2011-January,2883810
2011-July,3935589
2011-June,3766323
2011-March,3129205
2011-May,3547804
2011-November,3326859
2011-October,3602455
2011-September,3564970
2012-April,3563007
2012-August,4356216
2012-December,3443039
2012-February,2998119
2012-January,3211600
2012-July,4284443
2012-June,4107195
2012-March,3472440
2012-May,3820570
2012-November,3478890
2012-October,3844987
2012-September,3819379
2013-April,3604104
2013-August,4347059
2013-December,3814984
2013-February,2966477
2013-January,3204637
2013-July,4176486
2013-June,4146797
2013-March,3593364
2013-May,3933016
2013-November,3466878
2013-October,3910790
2013-September,3781168
2014-April,3881893
2014-August,4524918
2014-December,3855835
2014-February,3078405
2014-January,3432625
2014-July,4499221
2014-June,4321833
2014-March,3765504
2014-May,4147096
2014-November,3628786
2014-October,4059443
2014-September,3919072
2015-April,4021677
2015-August,4796653
2015-December,4129052
2015-February,3248144
2015-January,3550084
2015-July,4801148
2015-June,4558511
2015-March,4001521
2015-May,4361140
2015-November,4013814
2015-October,4374749
2015-September,4201394
2016-February,3543639
2016-January,3748529
2016-March,4137679
